Filename,Sum_Rewards,Steps,Difference,Significant_Increase_Index
E1A1G6T33,460,6.0,0.0004965810617131,3.0
E1A1G6T34,457,6.0,0.0005037303596956,29.0
E1A1G6T35,458,6.0,0.0005087025655779,22.0
E1A1G6T36,417,6.0,0.0004570905941847,9.0
E1A1G6T37,414,6.0,0.0004400201580298,46.0
E1A1G6T38,400,6.0,0.0004164908021383,4.0
E1A1G6T39,431,6.0,0.0004722810352132,94.0
E1A1G6T4,418,6.0,0.000483875550406,3.0
E1A1G6T40,456,6.0,0.0005036985314145,12.0
E1A1G6T5,460,6.0,0.0005093675847979,10.0
E1A1G6T6,429,6.0,0.0004784793470744,15.0
E1A1G6T7,449,6.0,0.0004964982524899,5.0
E1A1G6T8,444,6.0,0.0005067378944538,30.0
E1A1G6T9,425,6.0,0.0004415436154958,3.0
E1A1G9T1,455,6.0,0.004642086942141,5.0
E1A1G9T10,405,6.0,0.0040758942466518,3.0
E1A1G9T11,432,6.0,0.0043758326065961,3.0
E1A1G9T12,420,6.0,0.0042072629078386,8.0
E1A1G9T13,399,6.0,0.0041199410865164,7.0
E1A1G9T14,411,6.0,0.0041620754327088,4.0
E1A1G9T15,426,6.0,0.0041681358357995,3.0
E1A1G9T16,442,6.0,0.0045688117294804,6.0
E1A1G9T17,423,6.0,0.0041321957240859,25.0
E1A1G9T18,411,6.0,0.0040851893560198,3.0
E1A1G9T19,401,6.0,0.0040432438828512,5.0
E1A1G9T2,413,6.0,0.0039206420691743,3.0
E1A1G9T20,467,6.0,0.0046660883229584,3.0
E1A1G9T21,406,6.0,0.004312669200981,4.0
E1A1G9T22,396,6.0,0.0035838498738802,5.0
E1A1G9T23,424,6.0,0.0041550748142837,16.0
E1A1G9T24,425,6.0,0.0045524499129087,9.0
E1A1G9T25,401,6.0,0.0039002587336333,5.0
E1A1G9T26,425,6.0,0.0042764756724797,6.0
E1A1G9T27,411,6.0,0.003974220829973,4.0
E1A1G9T28,465,6.0,0.0046576945959946,5.0
E1A1G9T29,395,6.0,0.003670488372933,17.0
E1A1G9T3,427,6.0,0.0043580277344604,4.0
E1A1G9T30,419,6.0,0.0042180286993539,42.0
E1A1G9T31,417,6.0,0.0040278532347893,4.0
E1A1G9T32,419,6.0,0.0043399599882226,3.0
E1A1G9T33,419,6.0,0.0043433118733279,18.0
E1A1G9T34,420,6.0,0.0039833996069155,3.0
E1A1G9T35,452,6.0,0.0046529905645006,3.0
E1A1G9T36,428,6.0,0.0042771983328649,3.0
E1A1G9T37,421,6.0,0.0040729350127766,7.0
E1A1G9T38,448,6.0,0.0045573492059441,3.0
E1A1G9T39,434,6.0,0.0044468606559739,6.0
E1A1G9T4,430,6.0,0.0044421717692415,5.0
E1A1G9T40,439,6.0,0.0045151159026877,3.0
E1A1G9T5,418,6.0,0.0040899544315548,5.0
E1A1G9T6,377,6.0,0.0037507515996277,5.0
E1A1G9T7,391,6.0,0.0038649644525704,3.0
E1A1G9T8,442,6.0,0.0045833506904507,4.0
E1A1G9T9,444,6.0,0.0043918953864975,8.0
E1A4G1T1,457,6.0,3.646233223874943e-07,54.0
E1A4G1T10,454,6.0,3.5771241123035855e-07,6.0
E1A4G1T11,413,6.0,3.5637022184611065e-07,5.0
E1A4G1T12,425,6.0,2.53102857329834e-07,6.0
E1A4G1T13,417,6.0,3.389217588629957e-07,11.0
E1A4G1T14,388,6.0,2.3112978651308218e-07,6.0
E1A4G1T15,452,6.0,3.784473286985248e-07,3.0
E1A4G1T16,429,6.0,3.4457097053053135e-07,23.0
E1A4G1T17,413,6.0,2.828742656515083e-07,21.0
E1A4G1T18,390,6.0,2.477041693362187e-07,3.0
E1A4G1T19,411,6.0,2.906534711438818e-07,45.0
E1A4G1T2,422,6.0,3.07633938821067e-07,4.0
E1A4G1T20,414,6.0,2.639638553226161e-07,4.0
E1A4G1T21,418,6.0,2.78212192391245e-07,7.0
E1A4G1T22,419,6.0,2.265951796956968e-07,9.0
E1A4G1T23,406,6.0,2.42571442874462e-07,3.0
E1A4G1T24,419,6.0,2.9934344096914266e-07,6.0
E1A4G1T25,412,6.0,2.6997860871251815e-07,4.0
E1A4G1T26,475,6.0,3.158466207262303e-07,5.0
E1A4G1T27,402,6.0,2.3874281057628544e-07,4.0
E1A4G1T28,435,6.0,2.9479655628160925e-07,14.0
E1A4G1T29,409,6.0,3.326512295763429e-07,4.0
E1A4G1T3,404,6.0,2.893874234660168e-07,4.0
E1A4G1T30,407,6.0,2.312625999767468e-07,6.0
E1A4G1T31,406,6.0,3.326516645859894e-07,3.0
E1A4G1T32,403,6.0,1.4834674932394345e-07,9.0
E1A4G1T33,410,6.0,2.820514499592412e-07,4.0
E1A4G1T34,395,6.0,2.3524180137179585e-07,56.0
E1A4G1T35,408,6.0,2.798148565802144e-07,4.0
E1A4G1T36,413,6.0,2.8577418150365264e-07,3.0
E1A4G1T37,444,6.0,3.248464361551516e-07,21.0
E1A4G1T38,401,6.0,1.4610480149738449e-07,12.0
E1A4G1T39,393,6.0,2.3012350060533338e-07,5.0
E1A4G1T4,434,6.0,3.43611099050783e-07,3.0
E1A4G1T40,428,6.0,2.956791143910593e-07,5.0
E1A4G1T5,441,6.0,3.435883257706921e-07,13.0
E1A4G1T6,401,6.0,2.567769617727999e-07,4.0
E1A4G1T7,422,6.0,2.9034710421011254e-07,36.0
E1A4G1T8,442,6.0,3.867131500064006e-07,20.0
E1A4G1T9,384,6.0,2.295767181336363e-07,9.0
E1A4G4T1,417,6.0,0.0001791612404269,3.0
E1A4G4T10,396,6.0,0.0001641173097536,6.0
E1A4G4T11,421,6.0,0.0001920127477713,3.0
E1A4G4T12,418,6.0,0.0001957514998255,6.0
E1A4G4T13,383,6.0,0.00017723520074,9.0
E1A4G4T14,430,6.0,0.0002053639133971,7.0
E1A4G4T15,409,6.0,0.0001773995129111,6.0
E1A4G4T16,411,6.0,0.0001861138038969,4.0
E1A4G4T17,369,6.0,0.0001286384162136,8.0
E1A4G4T18,415,6.0,0.0001968261502352,3.0
E1A4G4T19,385,6.0,0.0001813382019903,14.0
E1A4G4T2,389,6.0,0.0001807633988884,3.0
E1A4G4T20,411,6.0,0.0001954399732192,36.0
E1A4G4T21,393,6.0,0.0001819407200736,3.0
E1A4G4T22,431,6.0,0.000192862205156,4.0
E1A4G4T23,411,6.0,0.0001835602597997,3.0
E1A4G4T24,398,6.0,0.0001702369793748,10.0
E1A4G4T25,431,6.0,0.0001997781517853,3.0
E1A4G4T26,417,6.0,0.0001887833349096,4.0
