Filename,Sum_Rewards,Steps,Q_Difference,Significant_Increase_Index
E1A4G9T4,3873,6.0,0.0,15
E1A4G9T5,3899,6.0,0.0,6
E1A4G9T6,3831,6.0,0.0,6
E1A4G9T7,3818,6.0,0.0,14
E1A4G9T8,3952,6.0,0.0,11
E1A4G9T9,3832,6.0,0.0,18
E1A6G1T1,3882,6.0,0.0,12
E1A6G1T10,3784,6.0,0.0,7
E1A6G1T11,3883,6.0,0.0,5
E1A6G1T12,3894,6.0,0.0,16
E1A6G1T13,3877,6.0,0.0,7
E1A6G1T14,3823,6.0,0.0,5
E1A6G1T15,3827,6.0,0.0,11
E1A6G1T16,3875,6.0,0.0,8
E1A6G1T17,3905,6.0,0.0,4
E1A6G1T18,3800,6.0,0.0,11
E1A6G1T19,3901,6.0,0.0,4
E1A6G1T2,3892,6.0,0.0,3
E1A6G1T20,3920,6.0,0.0,8
E1A6G1T21,3878,6.0,0.0,9
E1A6G1T22,3796,6.0,0.0,11
E1A6G1T23,3823,6.0,0.0,12
E1A6G1T24,3807,6.0,0.0,6
E1A6G1T25,3820,6.0,0.0,14
E1A6G1T26,3932,6.0,0.0,4
E1A6G1T27,3880,6.0,0.0,7
E1A6G1T28,3843,6.0,0.0,11
E1A6G1T29,3915,6.0,0.0,5
E1A6G1T3,3897,6.0,0.0,8
E1A6G1T30,3851,6.0,0.0,5
E1A6G1T4,3923,6.0,0.0,17
E1A6G1T5,3895,6.0,0.0,8
E1A6G1T6,3870,6.0,0.0,6
E1A6G1T7,3847,6.0,0.0,9
E1A6G1T8,3857,6.0,0.0,4
E1A6G1T9,3861,6.0,0.0,7
E1A6G4T1,3889,6.0,0.0,7
E1A6G4T10,3836,6.0,0.0,5
E1A6G4T11,3875,6.0,0.0,7
E1A6G4T12,3946,6.0,0.0,7
E1A6G4T13,3907,6.0,0.0,3
E1A6G4T14,3856,6.0,0.0,10
E1A6G4T15,3932,6.0,0.0,6
E1A6G4T16,3813,6.0,0.0,11
E1A6G4T17,3852,6.0,0.0,10
E1A6G4T18,3801,6.0,0.0,5
E1A6G4T19,3883,6.0,0.0,12
E1A6G4T2,3883,6.0,0.0,12
E1A6G4T20,3824,6.0,0.0,11
E1A6G4T21,3923,6.0,0.0,13
E1A6G4T22,3848,6.0,0.0,6
E1A6G4T23,3847,6.0,0.0,6
E1A6G4T24,3851,6.0,0.0,14
E1A6G4T25,3905,6.0,0.0,15
E1A6G4T26,3832,6.0,0.0,11
E1A6G4T27,3814,6.0,0.0,8
E1A6G4T28,3860,6.0,0.0,14
E1A6G4T29,3867,6.0,0.0,5
E1A6G4T3,3791,6.0,0.0,6
E1A6G4T30,3799,6.0,0.0,15
E1A6G4T4,3850,6.0,0.0,9
E1A6G4T5,3922,6.0,0.0,5
E1A6G4T6,3865,6.0,0.0,6
E1A6G4T7,3915,6.0,0.0,16
E1A6G4T8,3914,6.0,0.0,12
E1A6G4T9,3850,6.0,0.0,9
E1A6G6T1,3906,6.0,0.0,6
E1A6G6T10,3949,6.0,0.0,12
E1A6G6T11,3870,6.0,0.0,9
E1A6G6T12,3914,6.0,0.0,6
E1A6G6T13,3915,6.0,0.0,11
E1A6G6T14,3859,6.0,0.0,13
E1A6G6T15,3842,6.0,0.0,6
E1A6G6T16,3832,6.0,0.0,14
E1A6G6T17,3893,6.0,0.0,3
E1A6G6T18,3827,6.0,0.0,15
E1A6G6T19,3859,6.0,0.0,11
E1A6G6T2,3896,6.0,0.0,7
E1A6G6T20,3793,6.0,0.0,7
E1A6G6T21,3898,6.0,0.0,8
E1A6G6T22,3860,6.0,0.0,9
E1A6G6T23,3908,6.0,0.0,16
E1A6G6T24,3926,6.0,0.0,6
E1A6G6T25,3816,6.0,0.0,10
E1A6G6T26,3851,6.0,0.0,3
E1A6G6T27,3835,6.0,0.0,11
E1A6G6T28,3813,6.0,0.0,9
E1A6G6T29,3874,6.0,0.0,6
E1A6G6T3,3808,6.0,0.0,9
E1A6G6T30,3774,6.0,0.0,9
E1A6G6T4,3855,6.0,0.0,7
E1A6G6T5,3838,6.0,0.0,5
E1A6G6T6,3895,6.0,0.0,3
E1A6G6T7,3849,6.0,0.0,4
E1A6G6T8,3885,6.0,0.0,11
E1A6G6T9,3928,6.0,0.0,10
E1A6G9T1,3864,6.0,0.0,6
E1A6G9T10,3849,6.0,0.0,6
E1A6G9T11,3952,6.0,0.0,10
E1A6G9T12,3930,6.0,0.0,6
E1A6G9T13,3898,6.0,0.0,4
E1A6G9T14,3921,6.0,0.0,13
E1A6G9T15,3860,6.0,0.0,14
E1A6G9T16,3896,6.0,0.0,6
E1A6G9T17,3798,6.0,0.0,6
E1A6G9T18,3824,6.0,0.0,15
E1A6G9T19,3854,6.0,0.0,9
E1A6G9T2,3961,6.0,0.0,11
E1A6G9T20,3900,6.0,0.0,12
E1A6G9T21,3869,6.0,0.0,16
E1A6G9T22,3892,6.0,0.0,4
E1A6G9T23,3836,6.0,0.0,7
E1A6G9T24,3847,6.0,0.0,9
E1A6G9T25,3856,6.0,0.0,9
E1A6G9T26,3888,6.0,0.0,11
E1A6G9T27,3869,6.0,0.0,4
E1A6G9T28,3805,6.0,0.0,7
E1A6G9T29,3848,6.0,0.0,11
E1A6G9T3,3789,6.0,0.0,10
E1A6G9T30,3912,6.0,0.0,14
E1A6G9T4,3890,6.0,0.0,4
E1A6G9T5,3926,6.0,0.0,11
E1A6G9T6,3915,6.0,0.0,13
E1A6G9T7,3856,6.0,0.0,10
E1A6G9T8,3816,6.0,0.0,5
E1A6G9T9,3844,6.0,0.0,7
E1A9G1T1,3877,6.0,0.0,5
E1A9G1T10,3887,6.0,0.0,8
E1A9G1T11,3860,6.0,0.0,9
E1A9G1T12,3911,6.0,0.0,7
E1A9G1T13,3840,6.0,0.0,6
E1A9G1T14,3833,6.0,0.0,10
E1A9G1T15,3926,6.0,0.0,10
E1A9G1T16,3855,6.0,0.0,13
E1A9G1T17,3845,6.0,0.0,8
E1A9G1T18,3860,6.0,0.0,10
E1A9G1T19,3787,6.0,0.0,10
E1A9G1T2,3849,6.0,0.0,6
E1A9G1T20,3868,6.0,0.0,11
E1A9G1T21,3903,6.0,0.0,13
E1A9G1T22,3896,6.0,0.0,7
E1A9G1T23,3842,6.0,0.0,10
E1A9G1T24,3810,6.0,0.0,8
E1A9G1T25,3870,6.0,0.0,3
E1A9G1T26,3886,6.0,0.0,8
E1A9G1T27,3916,6.0,0.0,3
E1A9G1T28,3818,6.0,0.0,8
E1A9G1T29,3884,6.0,0.0,9
E1A9G1T3,3877,6.0,0.0,6
E1A9G1T30,3832,6.0,0.0,6
E1A9G1T4,3836,6.0,0.0,10
E1A9G1T5,3917,6.0,0.0,6
E1A9G1T6,3840,6.0,0.0,12
E1A9G1T7,3839,6.0,0.0,9
E1A9G1T8,3908,6.0,0.0,11
E1A9G1T9,3872,6.0,0.0,8
E1A9G4T1,3803,6.0,0.0,8
E1A9G4T10,3832,6.0,0.0,9
E1A9G4T11,3870,6.0,0.0,10
E1A9G4T12,3873,6.0,0.0,9
E1A9G4T13,3830,6.0,0.0,7
E1A9G4T14,3871,6.0,0.0,7
E1A9G4T15,3857,6.0,0.0,5
E1A9G4T16,3860,6.0,0.0,5
E1A9G4T17,3850,6.0,0.0,5
E1A9G4T18,3887,6.0,0.0,8
E1A9G4T19,3892,6.0,0.0,10
E1A9G4T2,3900,6.0,0.0,5
E1A9G4T20,3871,6.0,0.0,6
E1A9G4T21,3795,6.0,0.0,13
E1A9G4T22,3918,6.0,0.0,6
E1A9G4T23,3886,6.0,0.0,6
E1A9G4T24,3870,6.0,0.0,7
E1A9G4T25,3901,6.0,0.0,11
E1A9G4T26,3866,6.0,0.0,11
E1A9G4T27,3953,6.0,0.0,7
E1A9G4T28,3900,6.0,0.0,12
E1A9G4T29,3919,6.0,0.0,3
E1A9G4T3,3885,6.0,0.0,6
E1A9G4T30,3875,6.0,0.0,10
E1A9G4T4,3833,6.0,0.0,6
E1A9G4T5,3875,6.0,0.0,10
E1A9G4T6,3895,6.0,0.0,4
E1A9G4T7,3878,6.0,0.0,11
E1A9G4T8,3883,6.0,0.0,10
E1A9G4T9,3912,6.0,0.0,7
E1A9G6T1,3882,6.0,0.0,10
E1A9G6T10,3825,6.0,0.0,11
E1A9G6T11,3746,6.0,0.0,6
E1A9G6T12,3923,6.0,0.0,5
E1A9G6T13,3900,6.0,0.0,12
E1A9G6T14,3921,6.0,0.0,7
E1A9G6T15,3906,6.0,0.0,9
E1A9G6T16,3797,6.0,0.0,5
E1A9G6T17,3865,6.0,0.0,8
E1A9G6T18,3858,6.0,0.0,7
E1A9G6T19,3904,6.0,0.0,8
E1A9G6T2,3854,6.0,0.0,6
E1A9G6T20,3888,6.0,0.0,8
E1A9G6T21,3911,6.0,0.0,4
E1A9G6T22,3899,6.0,0.0,10
E1A9G6T23,3897,6.0,0.0,5
E1A9G6T24,3853,6.0,0.0,13
E1A9G6T25,3968,6.0,0.0,11
E1A9G6T26,3884,6.0,0.0,10
E1A9G6T27,3869,6.0,0.0,7
E1A9G6T28,3887,6.0,0.0,4
E1A9G6T29,3794,6.0,0.0,11
E1A9G6T3,3840,6.0,0.0,6
E1A9G6T30,3872,6.0,0.0,4
E1A9G6T4,3855,6.0,0.0,8
E1A9G6T5,3896,6.0,0.0,10
E1A9G6T6,3829,6.0,0.0,15
E1A9G6T7,3827,6.0,0.0,8
E1A9G6T8,3827,6.0,0.0,4
E1A9G6T9,3853,6.0,0.0,8
E1A9G9T1,3845,6.0,0.0,6
E1A9G9T10,3853,6.0,0.0,11
E1A9G9T11,3858,6.0,0.0,10
E1A9G9T12,3855,6.0,0.0,11
E1A9G9T13,3815,6.0,0.0,13
E1A9G9T14,3825,6.0,0.0,4
E1A9G9T15,3883,6.0,0.0,10
E1A9G9T16,3803,6.0,0.0,8
E1A9G9T17,3861,6.0,0.0,11
E1A9G9T18,3843,6.0,0.0,5
E1A9G9T19,3821,6.0,0.0,7
E1A9G9T2,3893,6.0,0.0,7
E1A9G9T20,3827,6.0,0.0,11
E1A9G9T21,3871,6.0,0.0,9
E1A9G9T22,3851,6.0,0.0,8
E1A9G9T23,3899,6.0,0.0,5
E1A9G9T24,3928,6.0,0.0,13
E1A9G9T25,3878,6.0,0.0,13
E1A9G9T26,3878,6.0,0.0,3
E1A9G9T27,3814,6.0,0.0,5
E1A9G9T28,3864,6.0,0.0,12
E1A9G9T29,3917,6.0,0.0,5
E1A9G9T3,3849,6.0,0.0,7
E1A9G9T30,3891,6.0,0.0,13
E1A9G9T4,3889,6.0,0.0,3
E1A9G9T5,3867,6.0,0.0,6
E1A9G9T6,3857,6.0,0.0,10
E1A9G9T7,3833,6.0,0.0,5
E1A9G9T8,3877,6.0,0.0,12
E1A9G9T9,3880,6.0,0.0,7
