Parameters,min_rewards,max_rewards,mean_rewards,median_rewards,iqr_rewards,shapiro_rewards,min_steps,max_steps,mean_steps,median_steps,iqr_steps,shapiro_steps,min_difference,max_difference,mean_difference,median_difference,iqr_difference,shapiro_difference,min_increase_index,max_increase_index,mean_increase_index,median_increase_index,iqr_increase_index,shapiro_increase_index
E6A1G4,1595,5171,4416.925,4679.5,800.25,6.370768520351106e-06,7.0,12.0,7.325,7.0,0.0,1.2157853183175905e-11,0.0,0.0124571718471545,0.009130921717839987,0.0111384812597696,0.0038239492124424266,5.464056795091327e-07,3.0,71.0,16.125,12.0,13.0,2.2004177967328193e-06
E6A1G6,2264,5345,4453.775,4669.5,913.25,0.0008377948446773335,7.0,10.0,7.3,7.0,0.0,3.4929090045910444e-10,0.0,0.0242660456179273,0.019504871593024484,0.0223037308790685,0.004301124337039497,2.1774276553505503e-07,3.0,57.0,15.8,11.5,18.25,0.00014795893397043447
E6A1G9,1948,5207,4060.1,4403.0,1316.5,0.00359620618432859,7.0,11.0,7.675,7.0,1.0,1.1219940040774389e-07,0.0,0.050996077210562,0.0395397315371762,0.04627297884463915,0.008324693450182004,1.9009435404109974e-08,3.0,63.0,22.4,16.5,25.75,0.0018077153429987293
E6A4G1,2650,5284,4478.1,4589.5,718.75,0.0032070033768006097,7.0,9.0,7.2,7.0,0.0,1.0376319162514347e-10,0.0,0.0035383034511085,0.00198367650501316,0.00220539343142185,0.001649151051756025,0.0007447556907493656,3.0,49.0,14.7,12.0,13.75,0.0007764049932815351
E6A4G4,650,5336,4293.35,4522.0,866.75,2.1071942878560967e-06,7.0,15.0,7.55,7.0,0.25,9.227507462433172e-12,0.0,0.043609118196912,0.028691698186010618,0.03299989154599905,0.018049425128020623,0.002202635163788285,3.0,84.0,18.0,13.0,15.25,6.554920097511715e-07
E6A4G6,3264,5163,4537.95,4601.0,679.75,0.06961098116705691,7.0,8.0,7.2,7.0,0.0,1.3323781947503024e-10,0.0321295469811763,0.0966150220831613,0.08258326980293809,0.08603583616326299,0.014382856929229054,4.6776062263013715e-05,3.0,37.0,12.475,11.5,12.25,0.006972076759220948
E6A4G9,0,4934,4182.4,4380.5,475.5,6.069576228785008e-09,7.0,18.0,8.075,8.0,0.25,8.072801520401222e-12,0.0,0.2630266987378596,0.23356783217206106,0.24828112341625025,0.022811048510716414,1.3759241961334464e-09,3.0,35.0,11.333333333333334,8.0,9.0,3.909727263899163e-06
E6A6G1,2249,5350,4511.625,4738.0,701.75,2.5144997006407956e-05,7.0,10.0,7.3,7.0,0.0,2.015872913401885e-10,0.0,0.0043399513720634,0.0024411732758358898,0.0027546737811612,0.0025022695087159,0.0005747472334901207,3.0,54.0,14.1,9.0,13.5,3.960712508929124e-06
E6A6G4,1847,5155,4208.475,4370.0,798.0,0.00042125259781283656,7.0,11.0,7.5,7.0,1.0,9.585269173006226e-09,0.0,0.060118569895387,0.03669421460674601,0.0391065069130253,0.019633497983499074,0.0032974187554065705,3.0,62.0,17.625,14.0,14.25,0.00010024505375316598
E6A6G6,2727,4868,4142.95,4269.0,626.75,0.05634505329351673,7.0,9.0,7.75,8.0,1.0,1.778907800216056e-08,0.0147627172142517,0.1499777586763123,0.11209242289276497,0.12054955864815856,0.03371646253969328,0.0010670272011550576,3.0,43.0,16.425,14.0,13.0,0.042690733016129696
E6A6G9,1580,4265,3459.625,3622.0,998.0,0.002500037904049352,8.0,13.0,8.65,8.0,1.0,2.379720839979014e-08,0.0,0.458000608223969,0.3450807039891911,0.39463984326297596,0.13925743145018088,3.666284668163609e-05,3.0,64.0,19.2,14.5,21.75,0.0008748563316891249
